,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,8.0,0.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0--0--2--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,39.0,49.0,112.0,52.0,39.0,902.0,70.0,49.0,37.0,50.0
0--1--0--1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--1--1--0,2.0,2.0,13.0,3.0,16.0,9.0,3.0,3.0,0.0,5.0
0--1--1--1,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--1--2,1.0,0.0,0.0,0.0,2.0,0.0,11.0,9.0,11.0,0.0
0--1--1--3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0
0--1--2--0,6.0,10.0,146.0,7.0,10.0,14.0,65.0,10.0,6.0,9.0
0--1--2--1,0.0,1.0,18.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0
0--1--2--2,6.0,10.0,147.0,7.0,10.0,6.0,6.0,7.0,9.0,2.0
0--1--2--3,6.0,1.0,4.0,2.0,3.0,21.0,1.0,4.0,2.0,0.0
0--1--3--0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,12.0,1.0
0--1--3--1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0--1--3--2,2.0,6.0,3.0,1.0,3.0,0.0,3.0,26.0,4.0,0.0
0--1--3--3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
0--2--0--0,173.0,917.0,2332.0,202.0,541.0,924.0,274.0,198.0,156.0,193.0
0--2--0--1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
0--2--0--2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0--2--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0--2--1--0,7.0,7.0,10.0,8.0,8.0,37.0,182.0,10.0,10.0,14.0
0--2--1--1,0.0,2.0,5.0,0.0,1.0,19.0,0.0,2.0,0.0,3.0
0--2--1--2,2.0,5.0,96.0,3.0,6.0,3.0,4.0,4.0,8.0,6.0
0--2--1--3,1.0,4.0,2.0,1.0,4.0,31.0,0.0,0.0,4.0,0.0
0--2--2--0,45.0,56.0,44.0,28.0,881.0,31.0,35.0,35.0,56.0,37.0
0--2--2--1,11.0,16.0,3.0,16.0,19.0,4.0,3.0,15.0,38.0,2.0
0--2--2--2,26.0,37.0,23.0,30.0,649.0,38.0,33.0,33.0,33.0,30.0
0--2--2--3,9.0,5.0,3.0,12.0,119.0,8.0,7.0,16.0,4.0,4.0
0--2--3--0,5.0,12.0,2.0,3.0,7.0,1.0,2.0,1.0,67.0,2.0
0--2--3--1,8.0,1.0,2.0,15.0,2.0,1.0,2.0,15.0,2.0,4.0
0--2--3--2,8.0,37.0,8.0,7.0,29.0,9.0,7.0,48.0,4.0,7.0
0--2--3--3,2.0,0.0,2.0,2.0,0.0,2.0,1.0,30.0,2.0,2.0
0--3--0--0,40.0,97.0,76.0,156.0,637.0,44.0,37.0,37.0,42.0,35.0
0--3--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--0--2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--3--0--3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--1--0,3.0,1.0,1.0,3.0,38.0,3.0,1.0,0.0,3.0,1.0
0--3--1--1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--1--2,2.0,1.0,2.0,3.0,15.0,1.0,0.0,2.0,0.0,0.0
0--3--1--3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0
0--3--2--0,10.0,41.0,5.0,6.0,164.0,5.0,6.0,6.0,7.0,9.0
0--3--2--1,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0
0--3--2--2,5.0,4.0,1.0,4.0,118.0,2.0,10.0,4.0,5.0,8.0
0--3--2--3,0.0,29.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,2.0
0--3--3--0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,4.0,4.0
0--3--3--1,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0
0--3--3--2,5.0,6.0,1.0,3.0,1.0,1.0,0.0,18.0,2.0,1.0
0--3--3--3,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
1--0--0--0,36.0,628.0,77.0,375.0,45.0,41.0,56.0,41.0,34.0,51.0
1--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--0--2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1--0--1--0,22.0,2.0,26.0,11.0,1.0,5.0,1.0,5.0,1.0,3.0
1--0--1--1,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0
1--0--1--2,2.0,1.0,1.0,0.0,2.0,1.0,17.0,1.0,7.0,1.0
1--0--1--3,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1--0--2--0,6.0,16.0,20.0,193.0,11.0,3.0,10.0,7.0,7.0,10.0
1--0--2--1,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0
1--0--2--2,27.0,86.0,3.0,3.0,10.0,10.0,7.0,34.0,7.0,6.0
1--0--2--3,1.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,8.0,16.0
1--0--3--0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,2.0
1--0--3--1,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
1--0--3--2,5.0,5.0,6.0,0.0,2.0,18.0,4.0,0.0,2.0,1.0
1--0--3--3,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
1--1--0--0,4836.0,70622.0,4735.0,4697.0,4849.0,4790.0,4759.0,4688.0,4735.0,4835.0
1--1--0--1,9.0,22.0,7.0,11.0,5.0,3.0,2.0,3.0,4.0,2.0
1--1--0--2,18.0,0.0,56.0,8.0,6.0,8.0,5.0,5.0,19.0,3.0
1--1--0--3,3.0,13.0,44.0,4.0,3.0,1.0,0.0,2.0,28.0,4.0
1--1--1--0,249.0,259.0,278.0,5824.0,228.0,258.0,263.0,250.0,250.0,276.0
1--1--1--1,27.0,30.0,416.0,22.0,35.0,44.0,320.0,37.0,33.0,34.0
1--1--1--2,118.0,166.0,2687.0,94.0,123.0,122.0,107.0,108.0,114.0,105.0
1--1--1--3,37.0,26.0,751.0,41.0,44.0,125.0,43.0,34.0,33.0,157.0
1--1--2--0,1038.0,1152.0,1042.0,959.0,1045.0,2448.0,21156.0,1032.0,1029.0,1073.0
1--1--2--1,93.0,105.0,117.0,101.0,103.0,2460.0,107.0,170.0,94.0,87.0
1--1--2--2,707.0,1402.0,771.0,721.0,726.0,15922.0,756.0,753.0,754.0,725.0
1--1--2--3,177.0,179.0,155.0,148.0,147.0,3554.0,133.0,153.0,147.0,143.0
1--1--3--0,97.0,115.0,91.0,82.0,84.0,71.0,75.0,1426.0,640.0,85.0
1--1--3--1,45.0,52.0,37.0,41.0,31.0,31.0,45.0,813.0,41.0,43.0
1--1--3--2,164.0,627.0,139.0,144.0,167.0,157.0,149.0,3142.0,148.0,147.0
1--1--3--3,46.0,49.0,38.0,37.0,24.0,31.0,37.0,783.0,26.0,35.0
1--2--0--0,19109.0,19398.0,19314.0,107533.0,19200.0,19087.0,19007.0,19345.0,19078.0,19354.0
1--2--0--1,12.0,85.0,176.0,13.0,12.0,12.0,17.0,18.0,9.0,11.0
1--2--0--2,21.0,20.0,401.0,12.0,12.0,14.0,11.0,9.0,19.0,22.0
1--2--0--3,12.0,56.0,278.0,12.0,24.0,12.0,34.0,11.0,12.0,15.0
1--2--1--0,1113.0,23639.0,1030.0,1072.0,1101.0,1031.0,1082.0,1086.0,1088.0,1156.0
1--2--1--1,124.0,3184.0,130.0,144.0,152.0,124.0,121.0,137.0,129.0,110.0
1--2--1--2,535.0,11462.0,478.0,457.0,478.0,538.0,527.0,532.0,503.0,500.0
1--2--1--3,199.0,3918.0,168.0,169.0,185.0,155.0,165.0,176.0,148.0,204.0
1--2--2--0,4548.0,67774.0,4246.0,4349.0,4452.0,4367.0,4373.0,4536.0,4438.0,4457.0
1--2--2--1,465.0,10456.0,459.0,481.0,472.0,439.0,463.0,477.0,457.0,430.0
1--2--2--2,3232.0,54916.0,3170.0,3114.0,3237.0,3102.0,3198.0,3219.0,3108.0,3163.0
1--2--2--3,669.0,14947.0,669.0,649.0,650.0,643.0,677.0,632.0,631.0,671.0
1--2--3--0,376.0,8118.0,359.0,322.0,369.0,384.0,356.0,680.0,498.0,374.0
1--2--3--1,165.0,3608.0,156.0,169.0,149.0,141.0,129.0,166.0,158.0,160.0
1--2--3--2,639.0,14913.0,635.0,677.0,697.0,674.0,695.0,654.0,653.0,644.0
1--2--3--3,163.0,3470.0,151.0,149.0,153.0,140.0,153.0,138.0,125.0,151.0
1--3--0--0,4125.0,4133.0,4087.0,4097.0,4038.0,4191.0,64902.0,4189.0,4128.0,4113.0
1--3--0--1,2.0,3.0,1.0,0.0,52.0,0.0,4.0,4.0,6.0,5.0
1--3--0--2,4.0,13.0,3.0,6.0,72.0,1.0,2.0,4.0,4.0,1.0
1--3--0--3,4.0,1.0,4.0,6.0,17.0,51.0,1.0,0.0,2.0,3.0
1--3--1--0,217.0,232.0,202.0,200.0,4981.0,206.0,213.0,205.0,234.0,208.0
1--3--1--1,67.0,20.0,31.0,25.0,593.0,36.0,33.0,25.0,27.0,24.0
1--3--1--2,107.0,94.0,86.0,123.0,2361.0,110.0,116.0,106.0,100.0,103.0
1--3--1--3,48.0,24.0,31.0,25.0,776.0,42.0,46.0,38.0,40.0,28.0
1--3--2--0,967.0,905.0,884.0,941.0,19849.0,876.0,901.0,864.0,906.0,893.0
1--3--2--1,75.0,88.0,103.0,99.0,2217.0,87.0,92.0,98.0,117.0,93.0
1--3--2--2,712.0,624.0,660.0,646.0,14692.0,695.0,612.0,647.0,656.0,594.0
1--3--2--3,122.0,130.0,132.0,139.0,3002.0,149.0,133.0,125.0,166.0,246.0
1--3--3--0,63.0,73.0,69.0,62.0,1438.0,64.0,82.0,328.0,98.0,67.0
1--3--3--1,21.0,21.0,27.0,28.0,729.0,31.0,30.0,36.0,33.0,33.0
1--3--3--2,142.0,111.0,120.0,126.0,3170.0,120.0,129.0,119.0,115.0,131.0
1--3--3--3,23.0,26.0,35.0,27.0,734.0,24.0,43.0,29.0,24.0,35.0
2--0--0--0,3985.0,170.0,197.0,272.0,168.0,209.0,201.0,201.0,190.0,168.0
2--0--0--1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2--0--0--3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2--0--1--0,22.0,11.0,44.0,164.0,10.0,12.0,12.0,15.0,8.0,9.0
2--0--1--1,3.0,1.0,34.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
2--0--1--2,6.0,52.0,51.0,8.0,4.0,5.0,7.0,3.0,7.0,4.0
2--0--1--3,33.0,0.0,10.0,1.0,5.0,0.0,2.0,0.0,1.0,1.0
2--0--2--0,863.0,76.0,37.0,24.0,45.0,33.0,35.0,64.0,60.0,37.0
2--0--2--1,5.0,6.0,1.0,4.0,5.0,5.0,86.0,8.0,3.0,4.0
2--0--2--2,477.0,185.0,27.0,30.0,17.0,24.0,27.0,26.0,30.0,24.0
2--0--2--3,34.0,73.0,11.0,5.0,2.0,15.0,7.0,19.0,2.0,5.0
